岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
硬件工程师实习生,复睿智行,150-200元/天,上海闵行区虹桥国际展汇1号楼7楼,"工作需求
1. 根据项目要求，能独立完成电路，关键器件选型，电路仿真，Layout的指导，BOM制作，工厂支持与指导，电路调试，电路测试与验证等工作
2. 和软件团队、机械团队以及工厂团队紧密配合，完成项目设计
3. 和客户沟通，解决客户问题
4. EMC问题的跟踪与解决。 
技能需求
1.工作认真、细心、负责，具有很强的责任心
2.善于沟通，具有团队合作精神
3.电子、计算机、自动控制或者相关专业本科及以上学位
4.具有高速以及模拟电路设计经验
5.熟悉MCU和ARM SoC以及周围电路设计 
6,熟悉电子EDA设计工具，有Cadence/Orcad/Allegro/Pspice经验的优先","4天/周
3个月
本科"," 汽车硬件产品,计算机相关专业,通信相关专业,,"
结构工程师实习生,放放智能科技,150-250元/天,上海静安区市北区块链生态谷静安区康宁路328号4号楼509室,"1、参与产品的机械结构设计；
2、 了解塑料件、铝合金等成型工艺和设计规范；
3、 对电子产品有一定的了解；
4、 熟练掌握SolidWorks、PROE/Creo等设计软件；
5、了解产品设计研发流程；
6、 有较强的沟通、表达及逻辑分析能力；
7、有责任心、上进心；
8、 动手能力强。","3天/周
3个月
本科"," SolidWorks,Proe,Creo,结构设计,"
运维工程师【实习生】,并联科技,170-230元/天,上海徐汇区光启城宜山路425号,"【职位描述】： 
1）负责终端、服务器等安全事件(病毒/木马/攻击/漏洞/勒索)的处理;
2）终端安全系统（防病毒、桌面管理、加密等）的实施、升级和日常巡检维护；
【岗位要求】： 
1）本岗位招收实习生
2）大专学历以上； 英语良好
3）精通Windows系统、Linux系统的配置使用；有微软认证工程师和RH Linux认证优先；
4）通过培训能上手中标麒麟系统，统信UOS系统；
4）具备较强的分析处理能力、学习能力
5）责任心强，能吃苦耐劳，有团队精神；
6）具备文字和语言的沟通能力，可以进行文档交付
7）具备网络安全知识和认证或有其他同等认证或实习工作经验者优先；
培养计划
经过实习，积累相关经验优先录用为正式员工","4天/周
3个月
大专"," Linux,桌面运维,安全运维,全职兼职均可,"
BIM工程师实习生,盈嘉互联,200-250元/天,上海徐汇区华鑫慧享城虹漕路77号C8栋206室,"岗位职责：
1. 使用Revit软件独立完成土建、机电专业BIM模型的创建、管理、维护、更新工作，能对已有模型进行优化；
2. 收集基础资料，根据客户需求建立完整可用的模型；
3. 参与公司BIM标准构件库建设；
4. 配合项目需求，使用同类型软件进行BIM建造阶段模拟、机电管线碰撞演示；
5. 研究国内外BIM标准，参与公司在BIM技术、方法、理论方面的产品创新、技术研发工作；
任职要求：
1. 工作经验：不限，学历：本科在读；
2. 专业要求：工程、土建、机电专业，有初步的建模经验；
3. 熟练操作Revit独立完成土建、机电专业的建模工作，还会使用Bentley、Navisworks、3dmax、Fuzor等软件的优先；
4. 熟悉施工现场验收规范及规程，能独立完成BIM相关各项工作的优先；
5. 参与过省、市级BIM大赛，有BIM完整项目策划及验收经验的优先；","4天/周
6个月
本科"," 3ds MAX,Revit,"
电子工程师（实习生）,沃丁科技(上海)...,150-250元/天,上海闵行区零号湾1号楼南楼711室,"职位描述
1、负责项目的硬件电路的设计与开发；协助PCB设计及单板试制加工； 
2、完成项目的方案设计、器件选型、原理图设计、调试、测试维护优化等工作； 
3、编写各种文档和标准化资料
4、熟悉PCB板焊接
职位要求： 
1、掌握基本的数模电路原理，具备相关调试经验
2、熟悉原理图/PCB设计流程，有设计和制板经验
3、应届实习生优先考虑
PS.有抽烟习惯不考虑","5天/周
12个月
本科"," PCB设计,电路设计,器件选型,"
硬件工程师实习生,垣称电子技术有限公司,150-200元/天,上海浦东新区日月光集团(上海)总部6楼610,岗位职责： 1、协助芯片模组的电路硬件系统设计； 2、协助产品设计方案（器件选型、原理图设计、电路板设计），完成样机调试工作； 3、协助产品开发各阶段技术文档的编写，包括BOM，测试方案说明，以及生产工艺文件的技术指导； 4、协助外协件厂家的技术沟通，后续产品改版升级。 职位要求： 1、电子工程或相关领域的本科及以上学历； 2、具有扎实电子工程理论基础； 3、具有优秀的元件选型，原理图设计和电路测试能力； 4、熟悉USB，MIPI CSI，I2C，GPIO等接口定义。,"3天/周
3个月
本科"," 芯片/半导体/集成电路,通信相关专业,,,,,"
量化工程师实习生,华贤投资,150-300元/天,上海长宁区古北国际财富中心2期2101,"岗位职责
A, 结合金融知识，使用统计学工具研究量化交易策略和对市场上交易机会的分析；
B，使用统计检验等方法研究策略风险控制的数学模型
C，样本数据的整理，清洗，以及交易策略的回测和验证
D，协助投资经理对账户运行数据和风控数据进行统计分析
任职要求
A，国内外大学硕士以上学历，数学，金融工程，计算机等相关专业；
B, 熟练 Python，熟悉量化相关技术，pandas，numpy，scipy，sklearn,等，熟悉常见的数据库技术，MySQL，SQL Server，Redis 等；
C，有较强的数理分析能力，且有一定的金融基础知识，
D，对量化投资领域有着强烈的好奇心和兴趣。","3天/周
2个月
本科"," SQL,Python,"
安服工程师实习生,德禹云,100-190元/天,上海奉贤区上海德禹云科技有限公司35号705室,"任职要求：
1.专科及以上学历，大四实习，计算机互联网或网络安全相关专业，对于网络安全技术有深厚的兴趣，无犯罪记录；
2、熟悉网络基础知识、主流网络安全设备、操作系统、数据库、应用系统等安全知识及配置方法；
3、具备较强的自我学习能力、沟通能力、文档撰写能力，能够在指导下快速学习和成长，同时在工作当中积累经验和知识；
4、具备良好的沟通能力、团队意识和合作精神，积极主动，耐心细致，遵纪守法；
岗位职责：
1.协助完成公司承接的安全服务驻场运维项目。
2.能够处理各种信息安全事件，并在处理后及时总结和分析。","3天/周
2个月
大专"," 安全运维和保障,Python,Java,PHP,,"
运维工程师（实习生）,上海科探,150-200元/天,上海徐汇区徐汇乐业天地(西南门)A座603室,"【岗位职责】 
1、负责公司产品日常维护
2、负责已部署产品的压测与安全，确保服务持续稳定运行
3、结合公司运维现状，参与运维巡检与故障处理
【岗位要求】
1、了解Linux操作系统的基础知识，熟练使用Linux常用操作命令
2、有兴趣学习Kubernetes
3、具有良好的问题分析的能力，能够快速定位、解决异常场景的问题","3天/周
3个月
大专"," 容器技术,Linux,Kubernetes,"
运维工程师实习生,南洋万邦,150-200元/天,上海徐汇区华鑫天地B6栋5楼,"职位信息：
1、在导师的带领下完成相关的技术学习。
2、听从项目经理的安排，参与信息化系统改造等项目的方案的规划，并且实施工作。
3、协助导师完成复杂、疑难技术问题的攻关。
岗位要求：
1、计算机相关专业本科，2023年毕业生。
2、对Windows server、开源、Linux相关知识有所了解，有部署实施经验更佳。
3、了解主流虚拟化平台，如VMware、hyper-v等相关知识。
4、对主流公有云等有相关操作或者部署经验，如微软AZure、AWS、阿里云、华为云等。
5、会使用python、Linux shell的优先考虑。
6、有良好的沟通、理解和学习能力。
7、热爱技术，有刻苦钻研的精神。
8、热爱工作，对工作有强烈的责任心。","3天/周
6个月
本科"," 实施交付运维,系统运维,Python/Shell,计算机相关专业,"
工程师助理（实习生）,烽朔控制,3-4K,上海松江区科溢科创园5幢101,"职位描述：
1.协助项目经理进行项目数据和工艺文档的整理工作。
2.协助电气工程师做好装配调试工作
3.配合完成车间及现场的5S工作；
4.遵守公司规章制度；服从上级领导安排的工作。
5.有上进心，多学，多做，多问。
任职要求：
1.中专或大专以上学历，电气、机电类专业。优秀应届生优先考虑。
2.熟练操作Office办公软件，如PPT,word,excel。
3.为人踏实诚恳、工作态度良好，自觉遵守公司各项规章制度，服从领导安排的其它相关工作。
薪资待遇：
1.工作时间8：30-17：30，周末双休，加班补贴，餐补，福利。
2.基本工资+工作补贴。薪资待遇具体商谈。
职位发展
1.公司提供图纸会审，清单配置，工程项目系统设计与安装等方面的培训。
2.实习期间表现优秀者，可被公司正式录用。","在校/应届
中专/中技"," 电气安装,设备维修/保养,机电相关专业,擅长AutoCAD,,"
测试工程师（实习生）,尊字智能科技有限公司,140-240元/天,上海闵行区银石科技商务园区2号楼9楼,"岗位职责：
1、能按照测试用例独立执行具体测试任务，完成测试报告以及测试结果分析；
2、能根据需求提炼测试点，及时更新测试用例；
3、能够快速、准确反馈问题，描述问题发生现象；
4、对测试中发现的问题进行详细分析和准确定位；
5、跟踪BUG情况，推进项目进度；
任职资格：
1、计算机/电子电气/车辆工程等相关本科及以上学历；
2、了解CAN/LIN/Ethernet/诊断等基础知识，会使用CANoe/SPY3总线测试工具;
3、 具备良好的书面表达能力，踏实、认真，具备一定的逻辑思维能力，具备一定的抗压能力；","3天/周
3个月
本科"," C++,通信相关专业,嵌入式测试,计算机相关专业,Python,,"
电子工程师/实习生,上海品研测控技术,200-250元/天,上海闵行区上海品研测控技术有限公司203室,"岗位要求：
1.能独立完成PCB绘制；
2.有1年以上ARM编程经验；
3.熟练使用C语言编程；
4.熟悉万用表，示波器，开关电源，电流发生器等测试设备；
5.熟悉电气基本知识，功率，功率因素，谐波等；
6.有电表，电能质量分析相关工作经验优先。
招聘条件：
1.勤奋易相处；
2.电子电路相关专业；
3.有电表相关研发调试经历者优先。
岗位晋升：
可晋升为技术主管，享受企业年终分红。
公司福利：
1.早8点半 晚5点半 午休一小时，双休；
2.公司欢迎努力的人，只要加班就有加班费；
3.过节福利，聚会，k歌，团队旅游；
4.年轻创业团队，需要有冲劲努力的人才加盟；
5.表现优异者，公司每年都免费外派海外考察学习旅游若干次；
6.每年公司都有年终考核及年终大奖人人有份，每人都有机会分得1万元至30万元不等的年终分红，根据个人能力和业绩而定。
我司主营 电子式互感器，三相高端电能表 出口型企业。
产品非常独特，国内厂家只有三家，目前形势一片大好，可取代性低，技术门槛很高，需要有行业经验才能迅速上手。会有专业工程师指导完成，如果有好的思路我们都会采纳，表现优异者会有出国参观展会与同行交流的机会。
工作地点：
上海闵行区莲花南路255弄55号203室 15号线双柏路地铁站向南1KM
*****","5天/周
2个月
大专"," PCB设计,示波器,ARM开发,Android,"
硬件工程师实习生,乐相科技,200-250元/天,上海浦东新区张江高科技园区科技创业孵化基地1楼,"""工作职责：
1、协助VR产品的硬件研发工作；
2、参与硬件器件选型、原理图设计到SDV测试的完整研发过程；
3、负责已量产项目跟进；
任职要求：
1、23届应届毕业生，电子、通信、自动化、机械电子、光电、半导体、计算机等相关专业优先；
2、需立即到岗实习，可转正；
3、扎实硬件基础知识，对基础学科，如数电、模电、微机原理等良好掌握；
4、至少熟练掌握一种EDA软件，能看懂原理图，并可以做简单的PCB设计；
5、富有团队协作精神、积极乐观、学习能力强；敢想敢干敢于表达、喜好深度思考深入研究者优先。
""","3天/周
3个月
本科"," 智能硬件/可穿戴设备,手机/电脑/通讯终端,计算机相关专业,,,"
IT工程师（实习生）,智重信息,120-180元/天,上海浦东新区上纺物业·三林世博创意园2号楼,"招募对象：
专科及本科学历在校学生
岗位职责：
1、现场处理计算机软硬件（计算机、显示器、办公电话、网络设施和其他附属设施）及操作系统的安装、配置、升级、运行维护与管理，保证桌面系统正常运行，满足用户的工作需要
2、负责办公电话、视频会议终端等设备的运行维护及管理
3、配合IT部门内部项目工作的实施
4、完成领导交办的其他工作
任职要求：
1、对helpdesk岗位有一定的了解
2、品貌端正、遵纪守法、诚实守信、性格开朗
3、具有较强的责任心和敬业精神
4、具备良好的沟通能力和团队合作意识
5、具备良好的学习能力和文档撰写的能力
6、具备良好的英语读写能力，能够英语对话者优先
7、熟练掌握Office办公软件及中英文操作系统
8、对IT行业及管理工作充满热情，对行业有自己的见解
岗位类型
实习，长期，可以全勤者优先。
工作时间：09：00-18：00 弹性工作制，可上下浮动
培养计划
未来培养技术岗/管理岗，软件开发/市场营销等岗位亦可尝试。","5天/周
12个月
大专"," 桌面运维,"
前端工程师实习生,上海岩创网络科技...,100-150元/天,上海黄浦区中区广场3层,"工作职责:
1. 参与到产品和项目的开发、维护工作；
2. 交付的代码符合团队的技术开发规范；
3. 通过项目不断培养自身的程序设计、工程规划能力。
任职要求：
1. 在校学生；
2. 对前端技术有一定初步了解；
3. 乐于学习，对技术有好奇心，有较强的动手能力；
4. 有清晰的目标和短期规划；
5. 保证每周3至5天的工作时长。","3天/周
3个月"," javascript,html,vue.js,"
算法工程师实习生,法孚斯坦因,160-170元/天,上海宝山区法孚斯坦因冶金技术(上海)有限公司上海宝山区薀川路1398号,"主要职责
-   负责法孚钢铁、玻璃行业大数据技术开发工作。
任职要求
-    智能科学与技术、控制工程、信息科学与技术、数学等相关专业
-    通过机器学习、数据挖掘实现机组工艺的数字化；
-    英语四级以上，良好的团队合作精神，持续学习精神； 
-    会Python 语言数据分析
-    数据分析及沟通协调能力，具备较强的前瞻思维能力和敏锐的市场分析能力；
-     欢迎研二的学生实习（长期实习）","3天/周
4个月
硕士"," 深度学习算法,机器学习算法,Python,数据挖掘,数据分析,"
机器人工程师（实习生）,库茂机器人,170-200元/天,上海嘉定区南翔机器人产业园南翔机器人产业园7号楼,"1）主要负责FANUC机器人调试工作；
2）次要负责ABB、KUKA机器人调试工作。
任职资格：
1）大专（含）以上学历，自动化或者机电一体化相关经验；
2）学习FANUC机器人调试；
3）学习其他品牌（ABB\KUKA）机器人调试；
4）简单的电气及PLC知识；
5）适应出差。
实习期实习工资每月3700左右，转正后工资范围: 5500-6000，差旅补贴另算。公司不提供住宿。","7天/周
3个月
大专"," PLC工程师,"
网络工程师（实习生）,久零台,180-190元/天,上海闵行区旭辉·莘庄中心1203--1室,"岗位职责：
1、负责项目网络调试、设备配置、数据迁移、备份等实施与管理；
2、负责日常路由器、交换机、防火墙及服务器等相关网络设备的配置部署等；
3、负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告；
4、定期对操作流程及故障进行梳理总结，维护已有故障处理流程SOP，新故障处理流程整理汇总录入SOP；
岗位要求：
1、大专以上学历，计算机、网络工程相关专业，具有网络驻场维护工作经验者优先；
2、熟悉网络安全、路由和交换技术，熟练掌握企业的计算机网络的各种应用；
3、熟悉TCP/IP网络协议，熟悉主流厂商华为、H3C、Cisco等的设备调试，能够独立完成网络安全设备的相关调试及排错；
4、能够主动了解相关厂商各种主流产品，进行技术整合和优化，提高方案能力；
5、责任心强，具备客户服务意识，现场应变能力强；","5天/周
12个月
大专"," 交换机配置,路由器配置,故障处理,网络规划设计,"
网络工程师实习生,上海南天,150-200元/天,上海长宁区上海南天电脑系统有限公司(金钟路),接受2023年毕业的，爱好网络，打算往网络工程师方向发展的，有相关资质证书培训优先考虑！,"4天/周
3个月
本科"," 网络,IT支持,"
测试工程师(实习生),SSME,120-160元/天,上海浦东新区西门子公司医疗系统集团A楼,"计算机,电子,通信相关专业在读。对软件测试行业感兴趣。英语四六级已过。实习期六个月，每周能保证至少三天或四天的工作时间优先。","4天/周
6个月
本科"," 软件测试,Windows,功能测试,系统测试,Windows测试,,,"
实施工程师实习生,泛微网络,200-270元/天,上海闵行区泛微软件园1楼,"岗位职责：
1、针对客户需求和行业特点，依据项目经理的建议和指导，按照实施计划，进行实施部署；
2、及时、有效协调解决项目实施过程中出现的疑难问题，并按照实施流程顺利完成实施项目，按时保质实现项目交付和验收，提高客户满意度和用户体验；
3、按照客户要求协助进行现场培训和指导，进行实施文档的编写，完成项目实施进度报告，实施总结等；
4、与客户方保持良好的合作，确保项目进度与质量。
岗位要求：
1、本科及以上学历，计算机等相关专业，23年，24年本科、硕士毕业；
2、具备良好的SQL server、Oracle等数据库的操作和维护知识和维护能力，有一定的技术（html编写）基础的优先，了解企业级服务器常用软件环境的基本操作；
3、具备良好自信心，有较强的口头表达能力；
4、有强烈的进取精神、事业心、责任心，能够在压力下工作。
5、加分项：四级通过，学校及校外活动经验丰富。
培训体系完善，团队氛围nice","5天/周
5个月
硕士"," MySQL,Oracle,软件实施,"
测试工程师（实习生）,天玑科技,150-250元/天,上海宝山区宝山城市工业园区基础设施养护管理项目部999,"1．专科及以上学历，车辆工程，计算机，自动化等专业
2． 熟练使用OFFICE，有一定的文档编写经验。
3． 具备良好的英文听说能力。
4． 工作积极主动，思维缜密
 岗位职责
1．  执行软件测试
2．  编写测试报告
3．  参与部分软件开发
4.     实习生优先，有住宿","5天/周
12个月
大专"," 软件测试,"
测试工程师（实习生）,上海述信,150-200元/天,上海徐汇区上海述信信息科技有限公司华鑫天地A3栋201,"岗位职责：
1、参与需求分析和评审，协助制定测试方案和测试计划
2、参与设计、执行测试用例编写测试报告；
3、进行缺陷跟踪与分析，协助开发分析和解决问题；
4、完成上级安排的其他工作；
岗位要求：
1、计算机或相关专业，掌握计算机基础知识；
2、熟悉软件测试的基本理论、方法和流程有较好理解；
3、熟练使用Linux的基本操作命令，会编写常见SQL；
4、具有较好的文档能力和结构化思维以及沟通能力；","5天/周
6个月
本科"," 自动化测试,功能测试,性能测试,"
测试工程师实习生,又为智能,200-250元/天,上海浦东新区凯瑞大厦荣科路118号,"岗位职责：
1. 参与制定ORKA产品测试计划和方案，包括功能、接口、性能测试方案等；
2. 根据产品需求和产品设计，实施软件测试，完成对产品的集成与系统测试，并提交测试报告；
3. 根据版本迭代计划，编写测试用例，准备测试数据，执行测试及Bug跟踪分析处理；
4. 执行和维护测试用例，协助开发团队完成缺陷的修复；
职位要求：
1. 本科及以上学历，理工科专业背景优先；
2. 熟悉Python、Java、C++等至少一种编程语言；
3. 喜欢测试工作、具有较好的耐心及责任心；
4. 工作细心认真，具有良好的沟通能力及协作能力；
5. 具有测试经验者优先；","4天/周
3个月
本科"," Java,性能测试,系统测试,软件测试,"
硬件工程师实习生,汇道科技,150-250元/天,上海虹口区复城国际910号大楼508,"一. 岗位职责：
1. 协助团队完成物联网智能硬件的开发和验证工作； (助理)
2. 本职位从事物联网智能硬件的硬件设计，开发和验证工作； (初级/中级)
3. 参与项目沟通，完成硬件开发过程中原理图设计、PCB设计、硬件调试等；
4. 根据开发流程协助完成产品测试、分析，改进以及相关文档；
5. 协助硬件产品的安装培训以及现场实施；
二. 任职要求： 
1. 本科及以上学历（211, 985院校优先），电子信息、电子技术、电气自动化、通信工程等相关专业；（助理）
2. 1-3年工作经验；（初级）
3. 3年以上工作经验；（中级）
4. 熟悉电子元器件选型、电路设计、PCB绘制、电路调试；
5. 了解单片机开发，C语言， 对智能硬件开发相关物联网通讯协议及模块化方案有一定了解，如：Lora，Zigbee，蓝牙，红外，WiFi等；
6. 了解树莓派等快速开发模块；
7. 有较强的动手能力，会使用各类开发测试设备、仪器等；
8. 具备强烈的进取心和责任感，有较强的学习能力和探索精神，面对压力敢于迎难而上；
9. 拥有较强的逻辑思维能力和表达能力以及良好的团队合作精神。 
三. 福利待遇
1. 业内有竞争力的薪酬
2. 按标准缴纳五险一金
3. 技术大牛，带队研发
4. 科技行业的创新氛围
5. 金融行业的作息时间
6. 定期聚餐及团队建设
7. 内部培养及晋升体系
8. 提供住宿，步行可达（上海）
9. 提供丰富的工作午餐（南昌）
    公司目前处于高速发展阶段，对优秀人才有长期需求。实习生择优录取，可提供实习证明。欢迎咨询交流。","4天/周
3个月
本科"," 芯片/半导体/集成电路,电池/电源类产品,"
运维工程师（实习生）,思硕信息,180-200元/天,上海徐汇区新银大厦1901,"工作内容：
1、 机房日常巡检，机房基本网络设备、服务器、交换机、路由器;
2、各个区域CCTV监控及门禁系统的调试维护及故障排查;
3、打印机的日常维护及故障排查
4、负责机房网络及其他设备的维护、管理、故障排查等;
5、办公软件系统的安装调试和故障排查;
6、 做好客户沟通、资料采集、技术支持工作；
岗位要求：
1. 大专及以上学历，计算机、网络通信、电子信息工程等相关专业；
2.  熟悉win10操作系统及office等软件操作
3. 对电脑，打印机等电子产品有一定兴趣，且能够判断硬件基础故障；
4. 有不错的语言表达能力，积极进取，具有较好的团队协作精神；
5. 性格开朗，能够积极参与团队学习，愿意钻研，动手能力强者优先；","5天/周
10个月
大专"," 系统运维,安全运维,桌面运维,机房运维,数据库运维,,,,"
软件工程师实习生,惠普软件,150-250元/天,上海浦东新区张江纳贤路799号,"1. Master on Linux 
2. Good testing sense, experience and be familiar with the testing methodology 
3. Familiar with Shell, Python or other scripts language 
4. Can do attitude, self- driven, and quick learner
5. Good oral and written English 
6. Solid programming skill in at least one language","4天/周
8个月
硕士"," 功能测试,自动化测试,测试开发,"
算法工程师实习生,支付宝,20-40K,上海浦东新区支付宝大厦15楼,"蚂蚁金服大安全国际风控招聘算法实习生，办公地点上海支付宝大厦S空间/杭州黄龙时代广场。
岗位描述： 
1. 基于历史风险和专家经验，通过有监督和无监督的方法结合，建立针对欺诈行为的预测模型，并且持续优化； 
2. 与风险策略分析师紧密合作，通过分析和挖掘数据，探索业务机会点，并能利用算法工具解决实际业务问题；
3. 平衡体验的便捷和安全，通过优化理论和方法，设计并实施风险-收益最优化的决策。
岗位要求:
1. 2021年11月-2022年10月间毕业的计算机、数学、统计、金融等相关专业的硕士或以上学位学生；
2. 熟练掌握logistic regression/GBDT/Random Forest/Xgboost等经典机器学习方法，对无监督算法、深度学习方法有着比较全面的认识；
3. 熟练运用SQL、R、Python等工具； 
4. 突出的分析问题和解决问题能力，自我驱动，并且具备较强的学习能力、创新应用能力及沟通协调能力； 
5. 有算法项目经验者优先；有盗用欺诈作弊套现等风险识别经验者优先；
6. 拥有海外背景，英语流利者优先。","在校/应届
硕士"," 机器学习,数据挖掘,tensorflow,"
算法工程师（实习生）,深兰科技,200-250元/天,上海长宁区深兰科技9楼,"岗位职责：
1、参与人工智能相关的技术研究与项目建设工作；
2、参与人工智能算法大赛的组织推动工作；
3、完成领导交办的其他任务。
任职要求：
1、硕士研究生，计算机、电子、通信、自动化、软件工程等相关专业；
2、熟悉机器学习、模式识别算法或具有自然语言处理方面研究经验者优先；
3、熟悉数据处理，自然语言处理，知识图谱构建和语义搜索等，参与过相关项目者优先；
4、有机器人相关项目经验优先；
5、熟练使用office办公软件，乐于学习，善于沟通，有团队协作精神。","3天/周
3个月
硕士"," 计算机相关专业,机器学习算法/工程化经验,,"
网络工程师（实习生）,伦伟实业,200-210元/天,上海普陀区上海新曹杨工业园区B区8栋2楼,"网络工程师（实习生）5--10人
职位描述：
1、负责网络规划、设计、设备选型、调试等工作；
2、负责主流厂家的路由器、交换机、AP、防火墙、IPS等设备的实施配置、管理和优化；
3、负责根据用户的需求，拟写解决方案、实施方案、以及项目初验、验收报告等；
4、负责项目管理协调相关工作；
5、负责用户网络的实施/运维/改造/配置
岗位要求：
1、要求2023年毕业了，可全日实习到2023年6月。
2、要求计算机网络方向专业的学生。","4天/周
5个月
大专"," CCNP证书,CCIE证书,CCNA证书,RHCA,深信服,信锐,,"
BIM工程师实习生（机电/运维方向）,上海凯云建筑工程咨询,100-200元/天,上海闵行区万科·七宝国际1333,"公司提供专业技能培训、真实项目实践机会，表现优异者可以转正。
公司根据学历和能力评估，提供优于市场的补贴。
主要工作：
1、协助BIM工程师的建模工作
2、BIM相关技术资料检索与整理；BIM行业趋势和BIM应用需求调研；BIM类课题申报、材料编写等工作；
3、协助BIM工程师/平台运维的日常工作
4、领导安排的其它工作。
任职要求
1、硕士研究生学历，有设备、暖通、给排水、电气、智能化等专业背景；优秀的全日制本科生也可以投递，不接受非全日制本科生的投递，谢谢。
2、了解相关专业基础知识，具备基础的建筑、结构和机电专业知识及施工图识图能力；计算机二级以上。
3、能够在BIM工程师的指导下完成BIM任务；
4、熟练使用Autodesk Revit 和BIM相关软件(AutoCAD, Revit, Navisworks, Ecotect等)者优先；
5、工作地点：上海。","4天/周
3个月
本科"," Revit,"
电气设计实习生/环保电气工程师,科原环境,6-10K,上海嘉定区远香湖1号办公楼1003,"职位信息
1、从事环保工程项目电气部件的选型以及电气原理图等图纸的绘制设计；
2、PLC编程，电气技术支持
3、协助拟定设计方案、设备选型、材料清单；
岗位要求：
1、本科以上学历，电气工程及自动化、自动化等相关专业，条件优秀放宽至大专（统招）。
2、能使用AutoCAD、Eplan、 TIA等相关电气绘图软件本
3、具有良好的沟通能力（倾听－理解－表达），团队合作精神。有良好的时间观念、有良好的逻辑思维；
4、公司注重员工培养，有广阔的晋升空间，完善的晋升机制，表现优秀享受转调薪、绩效奖励。
5、优秀应届毕业生（2022年）或有相关行业实习经验者优先考虑。","在校/应届
大专"," 自动化技术,CAD,"
测试工程师（实习生/应届生）,上海英格尔,150-160元/天,上海闵行区英格尔认证检测1号楼2层人力资源部,"岗位职责：
1、辅助化学实验室质量管理体系运行中的技术性管理工作；
2、参与编写相关的检测、校准方法、实验大纲等作业指导书；
3、辅助实验室的不确定度评定、稳定性考核和结果验证工作；
4、完成上级安排的其他任务。
任职要求：
1、大专及以上学历，化学、医学及相关专业；
2、优秀应届生","5天/周
3个月
大专"," 测试工程师,化学,实习生,"
运维实施工程师--上海-实习生,观安信息,160-220元/天,上海嘉定区上海观安信息技术股份有限公司(上海总部)958弄7号楼,"职位职责：
1. 提供产品售前售后的技术支持，包括演示、安装、培训、验收，帮助客户熟悉使用产品，解决产品使用中的问题；
2. 处理回复客户邮件、电话或在线的技术问题；
3. 记录、汇总并分析客户提出的各类问题和需求，并反馈到开发组；
4. 协助进行软件应用和场景测试，进行bug反馈与跟踪；
5. 协助编写技术支持相关文档；
职能要求：
1. 计算机专科及以上学历
2. 熟悉HTML, CSS, Javascript
3. 有良好的文档编写能力
4. 良好团队合作精神及沟通能力
加分项：
1. 熟悉Linux Shell、Python等主流脚本语言中至少一种","4天/周
4个月
大专"," 网络运维,系统运维,实施交付运维,Nginx,Docker,"
电气实习生/电气助理工程师,上海梓一,5-6K·14薪,上海松江区上海海鸥茸锦智谷明南路288号1号楼215,"岗位职责：
1.负责电气图纸设计，PLC编程，电气元件选型
2.负责工程项目相关资料的整理和更新工作
3.能够适应出差，在工程项目的现场完成对系统设备，软件的调试工作。
任职要求:
1.电气自动化，机电一体化等相关专业，本科及以上学历
2.较强的动手能力，和独立分析解决问题的能力，工作态度积极主动，认真负责.
3.了解，熟悉三菱，西门子的PLC，熟悉EPLAN制图者优先.","在校/应届
大专"," PLC工程师,"
细胞筛选助理工程师（实习生）,三生国健,110-120元/天,上海浦东新区三生国健药业股份有限公司李冰路399号,"1．进行细胞株筛选等具体日常的实验操作；
2．按照规范要求地记录实验数据和操作；
3．细胞株培养、传代、冻存；
4．细胞培养辅助检测（蛋白含量）等。","3天/周
6个月
大专"," 抗体类,"
图形多媒体软件工程师实习生,慧国(上海)软件...,250-330元/天,上海杨浦区安联大厦8楼,"岗位职责：
团队介绍：目前慧国拥有一支年轻、强大的研发队伍，主要研制和开发Silicon Motion产品所需之软件包。并可根据消费者市场需求进行开发国内的IC产品及有关的软件产品。
1. windows平台应用和驱动开发，
2. linux平台应用和驱动开发
3. SoC嵌入式软件开发
4. 算法设计与研究
岗位要求：
1. 计算机相关专业硕士在读学生，每周至少四天工作时间。
2. 熟练掌握C 或C++，计算机操作系统原理，计算机体系结构和组原理。
3. 较强的学习能力，沟通能力和抗压能力。","4天/周
6个月
硕士"," Linux,Windows,驱动开发,"
实习生/应届生助理工程师,熠诚,3-5K,上海松江区小昆山镇镇中心425号3号楼南四栋,"职位描述：.
1.协助工程师制作现场工艺流程卡
2.协助工程师完成编程、调试工作；
3.协助工程师完成样机或零件测试，并记录数据和分析；
4.协助处理其他突发事项
任职要求：
1.机械设计制造及其自动化、机电一体化、电气工程及其自动化等相关专业；
2.大专及以上学历
3.需了解公差配合，金属机加工艺，制图标准；
5.熟练使用办公软件
6.应届生/实习生也可接受，欢迎投递。","在校/应届
大专"," 自动化,工艺文件编制,UG,"
